Node Number	X Location (in)	Y Location (in)	Z Location (in)	Directional Deformation (in)
1	0.85714	2.1429	-1.4301	-1.2212e-004
2	0.85714	2.1429	-0.68006	-1.2201e-004
3	0.85714	2.1429	6.9936e-002	-1.219e-004
4	1.7143	2.1429	-1.4301	-1.7174e-004
5	1.7143	2.1429	-0.68006	-1.7163e-004
6	1.7143	2.1429	6.9936e-002	-1.7152e-004
7	2.5714	2.1429	-1.4301	-2.2247e-004
8	2.5714	2.1429	-0.68006	-2.2236e-004
9	2.5714	2.1429	6.9936e-002	-2.2225e-004
10	3.4286	2.1429	-1.4301	-2.7283e-004
11	3.4286	2.1429	-0.68006	-2.7272e-004
12	3.4286	2.1429	6.9936e-002	-2.7261e-004
13	4.2857	2.1429	-1.4301	-3.2147e-004
14	4.2857	2.1429	-0.68006	-3.2136e-004
15	4.2857	2.1429	6.9936e-002	-3.2126e-004
16	5.1429	2.1429	-1.4301	-3.6732e-004
17	5.1429	2.1429	-0.68006	-3.6721e-004
18	5.1429	2.1429	6.9936e-002	-3.671e-004
19	6.	2.1429	-1.4301	-4.0956e-004
20	6.	2.1429	-0.68006	-4.0945e-004
21	6.	2.1429	6.9936e-002	-4.0935e-004
22	6.8571	2.1429	-1.4301	-4.4758e-004
23	6.8571	2.1429	-0.68006	-4.4748e-004
24	6.8571	2.1429	6.9936e-002	-4.4738e-004
25	7.7143	2.1429	-1.4301	-4.8093e-004
26	7.7143	2.1429	-0.68006	-4.8084e-004
27	7.7143	2.1429	6.9936e-002	-4.8074e-004
28	8.5714	2.1429	-1.4301	-5.0949e-004
29	8.5714	2.1429	-0.68006	-5.0939e-004
30	8.5714	2.1429	6.9936e-002	-5.093e-004
31	9.4286	2.1429	-1.4301	-5.3346e-004
32	9.4286	2.1429	-0.68006	-5.3336e-004
33	9.4286	2.1429	6.9936e-002	-5.3327e-004
34	10.286	2.1429	-1.4301	-5.5492e-004
35	10.286	2.1429	-0.68006	-5.5483e-004
36	10.286	2.1429	6.9936e-002	-5.5474e-004
37	11.143	2.1429	-1.4301	-5.7424e-004
38	11.143	2.1429	-0.68006	-5.7415e-004
39	11.143	2.1429	6.9936e-002	-5.7406e-004
40	12.	2.1429	-1.4301	-5.8591e-004
41	12.	2.1429	-0.68006	-5.8583e-004
42	12.	2.1429	6.9936e-002	-5.8575e-004
43	12.857	2.1429	-1.4301	-5.4241e-004
