Node Number	X Location (in)	Y Location (in)	Z Location (in)	Total Deformation (in)
1	0.85714	2.1429	-1.4301	3.5104e-004
2	0.85714	2.1429	-0.68006	3.5095e-004
3	0.85714	2.1429	6.9936e-002	3.5087e-004
4	1.7143	2.1429	-1.4301	3.7008e-004
5	1.7143	2.1429	-0.68006	3.6999e-004
6	1.7143	2.1429	6.9936e-002	3.699e-004
7	2.5714	2.1429	-1.4301	3.9384e-004
8	2.5714	2.1429	-0.68006	3.9374e-004
9	2.5714	2.1429	6.9936e-002	3.9365e-004
10	3.4286	2.1429	-1.4301	4.2086e-004
11	3.4286	2.1429	-0.68006	4.2076e-004
12	3.4286	2.1429	6.9936e-002	4.2066e-004
13	4.2857	2.1429	-1.4301	4.4949e-004
14	4.2857	2.1429	-0.68006	4.4939e-004
15	4.2857	2.1429	6.9936e-002	4.4929e-004
16	5.1429	2.1429	-1.4301	4.7821e-004
17	5.1429	2.1429	-0.68006	4.7811e-004
18	5.1429	2.1429	6.9936e-002	4.7801e-004
19	6.	2.1429	-1.4301	5.0571e-004
20	6.	2.1429	-0.68006	5.0561e-004
21	6.	2.1429	6.9936e-002	5.0552e-004
22	6.8571	2.1429	-1.4301	5.3094e-004
23	6.8571	2.1429	-0.68006	5.3084e-004
24	6.8571	2.1429	6.9936e-002	5.3075e-004
25	7.7143	2.1429	-1.4301	5.5308e-004
26	7.7143	2.1429	-0.68006	5.5299e-004
27	7.7143	2.1429	6.9936e-002	5.529e-004
28	8.5714	2.1429	-1.4301	5.716e-004
29	8.5714	2.1429	-0.68006	5.7151e-004
30	8.5714	2.1429	6.9936e-002	5.7142e-004
31	9.4286	2.1429	-1.4301	5.8654e-004
32	9.4286	2.1429	-0.68006	5.8645e-004
33	9.4286	2.1429	6.9936e-002	5.8637e-004
34	10.286	2.1429	-1.4301	5.9881e-004
35	10.286	2.1429	-0.68006	5.9873e-004
36	10.286	2.1429	6.9936e-002	5.9864e-004
37	11.143	2.1429	-1.4301	6.1024e-004
38	11.143	2.1429	-0.68006	6.1016e-004
39	11.143	2.1429	6.9936e-002	6.1008e-004
40	12.	2.1429	-1.4301	6.1498e-004
41	12.	2.1429	-0.68006	6.149e-004
